ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://digitalriver.webdev.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/digitalriver.webdev.acronis.com_vhost.json

host: mail3               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mailgate            | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: main                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mirror              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mgmt                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mobile              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: manage              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: monitor             | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mobile.%s           | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mta                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mssql               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mx0                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mx                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mx1                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: news                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: mysql               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ns                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: noc                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ns0                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ns1                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ns2                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ns3                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ntp                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: old                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: old.%s              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ops                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: oracle              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: owa                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: pbx                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: portal              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: s3                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: secure              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: secure.%s           | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: server              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: shop                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: sharepoint          | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: sip                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: smtp                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: sql                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: squid               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ssh                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: ssl                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: stage               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: staging             | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: staging.%s          | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: stats               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: status              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: status.%s           | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: svn                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: syslog              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: test                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: test1               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: testing             | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: test2               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: uat                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: uat.%s              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: upload              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: v1                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: v2                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: v1.%s               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: v2.%s               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: v3                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: v3.%s               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: vm                  | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: vnc                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: voip                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: vpn                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: web                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: wiki                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: web2test            | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: whois               | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: www.%s              | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: www                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: www2                | status: 200 | length: 10215 | words: 733 | lines: 312 |
host: xml                 | status: 200 | length: 10215 | words: 733 | lines: 312 |
