ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://us-az-vpn.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/us-az-vpn.acronis.com_vhost.json

host: manage              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mgmt                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mirror              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mobile              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mobile.%s           | status: 200 | length: 315 | words: 85 | lines: 9 |
host: monitor             | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mssql               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mta                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mx                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mx0                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mysql               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: mx1                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: news                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: noc                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ns                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ns0                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ns1                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ns2                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ns3                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ntp                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: old                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: old.%s              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ops                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: oracle              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: owa                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: pbx                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: portal              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: s3                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: secure              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: secure.%s           | status: 200 | length: 315 | words: 85 | lines: 9 |
host: server              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: sharepoint          | status: 200 | length: 315 | words: 85 | lines: 9 |
host: shop                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: sip                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: smtp                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: sql                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: squid               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ssh                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: ssl                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: stage               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: staging             | status: 200 | length: 315 | words: 85 | lines: 9 |
host: staging.%s          | status: 200 | length: 315 | words: 85 | lines: 9 |
host: stats               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: status              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: status.%s           | status: 200 | length: 315 | words: 85 | lines: 9 |
host: svn                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: syslog              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: test                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: test1               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: testing             | status: 200 | length: 315 | words: 85 | lines: 9 |
host: test2               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: uat                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: uat.%s              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: upload              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: v1                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: v1.%s               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: v2                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: v2.%s               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: v3                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: v3.%s               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: vm                  | status: 200 | length: 315 | words: 85 | lines: 9 |
host: vnc                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: voip                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: vpn                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: web                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: web2test            | status: 200 | length: 315 | words: 85 | lines: 9 |
host: whois               | status: 200 | length: 315 | words: 85 | lines: 9 |
host: wiki                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: www                 | status: 200 | length: 315 | words: 85 | lines: 9 |
host: www.%s              | status: 200 | length: 315 | words: 85 | lines: 9 |
host: www2                | status: 200 | length: 315 | words: 85 | lines: 9 |
host: xml                 | status: 200 | length: 315 | words: 85 | lines: 9 |
