ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://i4.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/i4.acronis.com_vhost.json

host: mgmt                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mirror              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mobile              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mobile.%s           | status: 301 | length: 178 | words: 6 | lines: 8 |
host: monitor             | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mssql               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mta                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mx                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mx0                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mx1                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: mysql               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: news                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: noc                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ns                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ns0                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ns1                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ns2                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ns3                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ntp                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: old                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: old.%s              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ops                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: oracle              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: owa                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: pbx                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: portal              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: s3                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: secure              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: secure.%s           | status: 301 | length: 178 | words: 6 | lines: 8 |
host: server              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: sharepoint          | status: 301 | length: 178 | words: 6 | lines: 8 |
host: shop                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: sip                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: smtp                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: sql                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: squid               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ssh                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: ssl                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: stage               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: staging             | status: 301 | length: 178 | words: 6 | lines: 8 |
host: staging.%s          | status: 301 | length: 178 | words: 6 | lines: 8 |
host: stats               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: status              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: status.%s           | status: 301 | length: 178 | words: 6 | lines: 8 |
host: svn                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: syslog              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: test                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: test1               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: test2               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: testing             | status: 301 | length: 178 | words: 6 | lines: 8 |
host: uat                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: uat.%s              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: upload              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: v1                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: v1.%s               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: v2                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: v2.%s               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: v3                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: v3.%s               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: vm                  | status: 301 | length: 178 | words: 6 | lines: 8 |
host: vnc                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: voip                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: vpn                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: web                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: web2test            | status: 301 | length: 178 | words: 6 | lines: 8 |
host: whois               | status: 301 | length: 178 | words: 6 | lines: 8 |
host: wiki                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: www                 | status: 301 | length: 178 | words: 6 | lines: 8 |
host: www.%s              | status: 301 | length: 178 | words: 6 | lines: 8 |
host: www2                | status: 301 | length: 178 | words: 6 | lines: 8 |
host: xml                 | status: 301 | length: 178 | words: 6 | lines: 8 |
