ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://rpc.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/rpc.acronis.com_vhost.json

host: mirror              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: mgmt                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: monitor             | status: 403 | length: 378 | words: 35 | lines: 13 |
host: mssql               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: mobile              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: mobile.%s           | status: 403 | length: 380 | words: 35 | lines: 13 |
host: mta                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: mx                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: mx0                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: mx1                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: mysql               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: news                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: ns0                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: noc                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: ns1                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: ns                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: ns2                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: ntp                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: ns3                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: old                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: old.%s              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: ops                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: owa                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: oracle              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: pbx                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: portal              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: secure              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: s3                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: secure.%s           | status: 403 | length: 380 | words: 35 | lines: 13 |
host: server              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: sharepoint          | status: 403 | length: 381 | words: 35 | lines: 13 |
host: shop                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: sip                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: sql                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: smtp                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: ssh                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: squid               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: ssl                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: stage               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: staging             | status: 403 | length: 378 | words: 35 | lines: 13 |
host: staging.%s          | status: 403 | length: 381 | words: 35 | lines: 13 |
host: stats               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: status              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: status.%s           | status: 403 | length: 380 | words: 35 | lines: 13 |
host: svn                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: syslog              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: test                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: test1               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: test2               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: testing             | status: 403 | length: 378 | words: 35 | lines: 13 |
host: uat                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: uat.%s              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: upload              | status: 403 | length: 377 | words: 35 | lines: 13 |
host: v1                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: v1.%s               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: v2                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: v3                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: v2.%s               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: vm                  | status: 403 | length: 373 | words: 35 | lines: 13 |
host: vnc                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: v3.%s               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: voip                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: vpn                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: web                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: whois               | status: 403 | length: 376 | words: 35 | lines: 13 |
host: web2test            | status: 403 | length: 379 | words: 35 | lines: 13 |
host: wiki                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: www                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: www2                | status: 403 | length: 375 | words: 35 | lines: 13 |
host: xml                 | status: 403 | length: 374 | words: 35 | lines: 13 |
host: www.%s              | status: 403 | length: 377 | words: 35 | lines: 13 |
