ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://us4-cloud.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/us4-cloud.acronis.com_vhost.json

host: manage              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mgmt                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mobile              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mirror              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mobile.%s           | status: 200 | length: 570 | words: 21 | lines: 1 |
host: monitor             | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mssql               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mta                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mx0                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mx                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mx1                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: mysql               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: news                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: noc                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ns                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ns0                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ns1                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ns2                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ns3                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ntp                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: old.%s              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: old                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: oracle              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ops                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: owa                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: pbx                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: portal              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: s3                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: secure              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: secure.%s           | status: 200 | length: 570 | words: 21 | lines: 1 |
host: sip                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: shop                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: smtp                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: sql                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: sharepoint          | status: 200 | length: 570 | words: 21 | lines: 1 |
host: server              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: squid               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ssh                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: ssl                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: stage               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: staging             | status: 200 | length: 570 | words: 21 | lines: 1 |
host: staging.%s          | status: 200 | length: 570 | words: 21 | lines: 1 |
host: stats               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: status              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: status.%s           | status: 200 | length: 570 | words: 21 | lines: 1 |
host: svn                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: syslog              | status: 200 | length: 570 | words: 21 | lines: 1 |
