ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://sg-mobilecho.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/sg-mobilecho.acronis.com_vhost.json

host: monitor             | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: mta                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: mx                  | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: mx0                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: mysql               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: news                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: mobile              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ns                  | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ns0                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ns1                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ns2                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: mx1                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ns3                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ntp                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: old                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: noc                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: mssql               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ops                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: oracle              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: owa                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: portal              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: s3                  | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: secure              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: sharepoint          | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: shop                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: pbx                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: smtp                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: sip                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: sql                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: squid               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ssl                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: server              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: stage               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: staging             | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: stats               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: status              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: ssh                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: svn                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: syslog              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: test                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: test1               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: test2               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: uat                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: v1                  | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: v2                  | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: v3                  | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: testing             | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: vnc                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: upload              | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: voip                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: web2test            | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: whois               | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: www                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: vm                  | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: www2                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: web                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: vpn                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: xml                 | status: 200 | length: 14752 | words: 3050 | lines: 109 |
host: wiki                | status: 200 | length: 14752 | words: 3050 | lines: 109 |
