ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://ts.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/ts.acronis.com_vhost.json

host: mx1                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: mysql               | status: 301 | length: 151 | words: 9 | lines: 2 |
host: news                | status: 301 | length: 151 | words: 9 | lines: 2 |
host: noc                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ns                  | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ns0                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ns2                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ns1                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ns3                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ntp                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: old                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ops                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: oracle              | status: 301 | length: 151 | words: 9 | lines: 2 |
host: owa                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: pbx                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: portal              | status: 301 | length: 151 | words: 9 | lines: 2 |
host: s3                  | status: 301 | length: 151 | words: 9 | lines: 2 |
host: secure              | status: 301 | length: 151 | words: 9 | lines: 2 |
host: server              | status: 301 | length: 151 | words: 9 | lines: 2 |
host: sharepoint          | status: 301 | length: 151 | words: 9 | lines: 2 |
host: shop                | status: 301 | length: 151 | words: 9 | lines: 2 |
host: sip                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: smtp                | status: 301 | length: 151 | words: 9 | lines: 2 |
host: sql                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: squid               | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ssh                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: ssl                 | status: 301 | length: 151 | words: 9 | lines: 2 |
host: stage               | status: 301 | length: 151 | words: 9 | lines: 2 |
