ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://mm.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/mm.acronis.com_vhost.json

host: mailgate            | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: main                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mgmt                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: manage              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mobile              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mirror              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mobile.%s           | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: monitor             | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mssql               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mta                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mx                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mx0                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mx1                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: news                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: mysql               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ns                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: noc                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ns0                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ns1                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ns2                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ns3                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ntp                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: old                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: old.%s              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ops                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: oracle              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: owa                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: pbx                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: portal              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: s3                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: secure              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: secure.%s           | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: server              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: sharepoint          | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: shop                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: sip                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: smtp                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: sql                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ssh                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: squid               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: ssl                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: stage               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: staging             | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: staging.%s          | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: stats               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: status              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: status.%s           | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: svn                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: syslog              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: test                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: test1               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: test2               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: testing             | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: uat                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: uat.%s              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: upload              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: v1                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: v1.%s               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: v2.%s               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: v2                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: v3                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: v3.%s               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: vm                  | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: vnc                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: voip                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: vpn                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: web                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: web2test            | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: whois               | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: wiki                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: www                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: www.%s              | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: www2                | status: 200 | length: 3677 | words: 774 | lines: 85 |
host: xml                 | status: 200 | length: 3677 | words: 774 | lines: 85 |
